iter	Passed	Remaining
775	1315	379
776	1316	377
777	1318	376
778	1319	374
779	1320	372
780	1322	370
781	1323	368
782	1324	367
783	1325	365
784	1327	363
785	1328	361
786	1330	360
787	1331	358
788	1332	356
789	1334	354
790	1335	352
791	1337	351
792	1338	349
793	1339	347
794	1341	345
795	1342	344
796	1344	342
797	1346	340
798	1347	338
799	1348	337
800	1350	335
801	1351	333
802	1352	331
803	1354	330
804	1355	328
805	1357	326
806	1358	324
807	1360	323
808	1361	321
809	1362	319
810	1364	317
811	1365	316
812	1367	314
813	1368	312
814	1370	311
815	1371	309
816	1373	307
817	1374	305
818	1376	304
819	1377	302
820	1378	300
821	1380	298
822	1381	297
823	1382	295
824	1384	293
825	1385	291
826	1387	290
827	1388	288
828	1390	286
829	1391	284
830	1392	283
831	1394	281
832	1395	279
833	1397	278
834	1398	276
835	1399	274
836	1401	272
837	1402	271
838	1404	269
839	1405	267
840	1407	266
841	1408	264
842	1409	262
843	1411	260
844	1412	259
845	1414	257
846	1415	255
847	1416	253
848	1418	252
849	1419	250
850	1421	248
851	1423	247
852	1424	245
853	1426	243
854	1427	242
855	1428	240
856	1430	238
857	1431	236
858	1432	235
859	1434	233
860	1435	231
861	1436	230
862	1438	228
863	1439	226
864	1441	224
865	1442	223
866	1443	221
867	1445	219
868	1446	218
869	1447	216
870	1449	214
871	1450	212
872	1452	211
873	1453	209
874	1454	207
875	1456	206
876	1457	204
877	1459	202
878	1460	201
879	1461	199
880	1463	197
881	1464	195
882	1466	194
883	1467	192
884	1469	190
885	1470	189
886	1472	187
887	1473	185
888	1474	184
889	1476	182
890	1477	180
891	1478	179
892	1480	177
893	1481	175
894	1483	174
895	1484	172
896	1485	170
897	1487	168
898	1488	167
899	1490	165
900	1491	163
901	1492	162
902	1494	160
903	1495	158
904	1496	157
905	1498	155
906	1499	153
907	1500	152
908	1502	150
909	1503	148
910	1504	147
911	1506	145
912	1507	143
913	1508	141
914	1510	140
915	1511	138
916	1513	136
917	1514	135
918	1515	133
919	1517	131
920	1518	130
921	1520	128
922	1521	126
923	1523	125
924	1524	123
925	1525	121
926	1527	120
927	1528	118
928	1530	116
929	1531	115
930	1533	113
931	1534	111
932	1535	110
933	1537	108
934	1538	106
935	1540	105
936	1541	103
937	1542	101
938	1544	100
939	1545	98
940	1547	97
941	1548	95
942	1549	93
943	1551	92
944	1552	90
945	1554	88
946	1555	87
947	1557	85
948	1558	83
949	1559	82
950	1561	80
951	1562	78
952	1564	77
953	1565	75
954	1567	73
955	1568	72
